date,temperature_2m_max,temperature_2m_min,precipitation_sum,shortwave_radiation_sum,wind_speed_10m_max,relative_humidity_2m_mean
2025-01-12,9.800,0.200,0.000,6.980,9.600,79
2025-01-13,12.500,2.800,1.300,8.960,8.500,81
2025-01-14,13.100,6.000,1.200,7.740,9.600,81
2025-01-15,11.100,4.500,1.900,6.080,12.600,88
2025-01-16,11.800,4.800,0.300,8.640,12.800,81
2025-01-17,10.400,5.700,0.200,3.690,14.800,84
2025-01-18,13.900,3.000,0.000,11.710,14.100,77
2025-01-19,14.000,2.700,0.000,10.360,8.100,82
2025-01-20,15.100,3.600,0.000,11.870,7.700,85
2025-01-21,14.900,4.700,0.000,9.150,7.800,85
2025-01-22,14.700,5.400,0.000,7.450,11.400,83
2025-01-23,13.700,6.200,0.000,5.700,11.400,88
2025-01-24,12.300,8.400,2.800,2.750,13.100,88
2025-01-25,9.700,6.900,3.400,4.470,14.200,77
2025-01-26,10.000,2.200,2.300,9.970,10.000,66
2025-01-27,6.800,-1.200,0.000,3.960,12.100,72
2025-01-28,10.800,-3.000,0.000,11.820,9.200,77
2025-01-29,12.400,-1.700,0.000,11.240,8.200,77
2025-01-30,10.000,5.500,0.200,3.750,8.500,76
2025-01-31,11.200,5.800,1.000,5.590,9.400,81
2025-02-01,11.100,5.600,0.000,7.870,13.300,80
2025-02-02,11.800,5.400,0.000,5.710,11.100,75
2025-02-03,12.600,5.800,0.000,13.170,13.000,61
2025-02-04,12.400,2.100,1.200,8.800,13.200,73
2025-02-05,9.400,5.500,1.300,4.030,13.600,81
2025-02-06,8.600,5.000,0.500,4.590,15.100,74
2025-02-07,8.200,4.800,1.200,2.870,14.300,74
2025-02-08,8.500,3.100,4.500,4.750,15.500,86
2025-02-09,7.800,4.300,1.300,4.280,8.700,88
2025-02-10,10.800,2.600,0.800,8.230,6.300,86
2025-02-11,10.700,4.800,0.400,5.730,12.300,80
2025-02-12,9.400,5.200,1.700,6.740,14.000,73
2025-02-13,11.000,4.100,0.000,9.340,11.400,67
2025-02-14,11.400,3.700,0.500,9.970,8.200,78
2025-02-15,13.900,2.500,1.300,12.540,9.900,78
2025-02-16,12.900,6.400,0.400,7.180,10.100,84
2025-02-17,14.400,7.000,0.300,10.510,8.800,81
2025-02-18,11.800,7.900,6.800,4.670,7.900,89
2025-02-19,9.900,7.500,5.700,2.580,8.200,93
2025-02-20,12.100,7.100,2.000,5.660,10.500,87
2025-02-21,9.700,6.800,3.700,2.680,11.500,92
2025-02-22,8.800,7.300,6.300,2.180,14.400,93
2025-02-23,9.100,6.100,2.000,4.040,11.700,88
2025-02-24,9.300,4.900,0.900,5.700,14.600,86
2025-02-25,13.700,3.000,0.300,13.930,10.100,79
2025-02-26,14.400,4.200,0.000,12.140,9.700,80
2025-02-27,14.100,7.400,0.000,8.110,8.600,81
2025-02-28,17.900,3.100,0.000,16.260,7.900,82
2025-03-01,16.000,6.900,1.400,9.170,10.600,82
2025-03-02,18.400,9.100,3.200,8.230,11.900,81
2025-03-03,17.500,9.500,3.000,12.130,11.900,78
2025-03-04,13.900,9.000,4.000,7.260,10.000,83
2025-03-05,11.100,8.900,16.400,2.120,14.300,93
2025-03-06,10.100,7.600,5.900,3.820,12.900,88
2025-03-07,11.400,3.600,2.200,6.360,6.900,88
